33;0;[2,14,4,3,5,6,1]
33;15;[3,7,16]
33;8;[17,3,18]
33;11;[5]
33;2;[13,0,14,1,6,5,4]
33;7;[3,15,16]
33;12;[5]
33;6;[0,2,14,13,5,4,1]
33;13;[0,2,5,14,1,6]
33;18;[3,17,8]
33;1;[14,5,3,13,2,6,0]
33;14;[0,2,5,6,1,13]
34;18;[17,3,8]
34;8;[3,17,18]
34;11;[5]
34;12;[5]
34;6;[2,1,0,5,4,13,14]
34;13;[1,2,5,14,6,0]
34;0;[2,6,14,4,3,1,13]
34;14;[0,5,6,2,13,1]
34;15;[3,16,7]
34;1;[13,6,2,14,5,3,0]
34;2;[0,1,6,5,4,14,13]
34;7;[3,16,15]
35;8;[3,17,18]
35;11;[5]
35;12;[5]
35;18;[3,17,8]
35;0;[1,6,4,3,14,13,2]
35;14;[13,2,5,0,1,6]
35;15;[3,16,7]
35;13;[6,14,5,2,1,0]
35;1;[0,2,5,3,13,14,6]
35;6;[14,13,1,0,5,4,2]
35;2;[0,1,5,4,6,14,13]
35;7;[16,15,3]
36;6;[13,14,2,1,0,5,4]
36;13;[6,1,0,14,2,5]
36;0;[1,13,14,2,6,4,3]
36;1;[14,13,0,6,2,5,3]
36;14;[6,0,5,13,2,1]
36;12;[5]
36;18;[8,17,3]
36;8;[18,17,3]
36;11;[5]
36;2;[14,6,13,0,1,5,4]
36;15;[16,3,7]
36;7;[3,16,15]
37;18;[3,8,17]
37;11;[5]
37;8;[18,3,17]
37;2;[6,13,1,5,4,14,0]
37;15;[3,16,7]
37;14;[0,6,1,5,2,13]
37;1;[14,0,6,2,5,3,13]
37;7;[16,3,15]
37;12;[5]
37;6;[13,2,14,5,4,0,1]
37;0;[1,14,13,4,3,6,2]
37;13;[0,5,1,2,6,14]
38;11;[5]
38;2;[0,6,13,1,5,4,14]
38;12;[5]
38;15;[3,16,7]
38;6;[0,14,2,13,5,4,1]
38;18;[17,3,8]
38;0;[1,4,3,2,14,6,13]
38;1;[13,5,3,6,0,14,2]
38;8;[3,17,18]
38;14;[5,13,1,2,0,6]
38;7;[16,3,15]
38;13;[1,2,5,6,0,14]
39;11;[5]
39;1;[2,6,13,14,5,3,0]
39;2;[6,0,5,4,14,13,1]
39;12;[5]
39;6;[2,0,1,5,4,13,14]
39;18;[3,17,8]
39;0;[2,14,13,4,3,6,1]
39;14;[13,1,0,6,5,2]
39;15;[16,3,7]
39;13;[14,5,6,2,0,1]
39;8;[3,17,18]
39;7;[16,3,15]
40;15;[3,16,7]
40;1;[0,2,5,3,13,14,6]
40;8;[17,3,18]
40;11;[5]
40;12;[5]
40;13;[14,0,6,5,1,2]
40;0;[1,6,4,3,14,2,13]
40;18;[3,17,8]
40;6;[0,13,1,5,4,2,14]
40;14;[2,5,0,1,6,13]
40;2;[14,1,5,4,13,0,6]
40;7;[16,3,15]
41;15;[3,16,7]
41;0;[6,14,1,2,13,4,3]
41;11;[5]
41;18;[17,3,8]
41;14;[0,2,6,5,13,1]
41;1;[0,13,14,5,3,2,6]
41;2;[13,0,5,4,1,14,6]
41;7;[15,3,16]
41;12;[5]
41;8;[3,17,18]
41;6;[0,14,1,5,4,2,13]
41;13;[1,5,2,6,14,0]
42;15;[7,16,3]
42;11;[5]
42;1;[13,2,0,5,3,14,6]
42;7;[16,15,3]
42;18;[17,3,8]
42;13;[14,6,5,0,1,2]
42;12;[5]
42;8;[3,17,18]
42;6;[14,13,2,0,5,4,1]
42;14;[0,5,6,2,1,13]
42;0;[4,3,2,6,1,13,14]
42;2;[6,13,1,14,5,4,0]
